Object,Property,Value,False,ObjectProperty
Object4,Property2,373492,"[653621, 974438, 572865, 598720, 687742, 873961, 935309, 881057, 530836, 566333, 894804, 928342, 510799, 646789, 912814, 799971, 999702, 737966, 671794, 928243]",Object4Property2
Object4,Property3,458832,"[707505, 811711, 613646, 829131, 529328, 655380, 727141, 891273, 982462, 590205, 760798, 890568, 651935, 773084, 517154, 658889, 676401, 718201, 552588, 934582]",Object4Property3
Object4,Property4,153577,"[830467, 663591, 502024, 644449, 941987, 527274, 787848, 875950, 913553, 872288, 537162, 631164, 697214, 940735, 833494, 997600, 903697, 867495, 680855, 715614]",Object4Property4
Object4,Property5,428321,"[919658, 621679, 746517, 659231, 510215, 849034, 854753, 640526, 877819, 975138, 903597, 915033, 698919, 930882, 660941, 697557, 600264, 647362, 646288, 934222]",Object4Property5
Object4,Property6,254370,"[861706, 633360, 745432, 535980, 957250, 798994, 823288, 698163, 864143, 555254, 508662, 525065, 600333, 523257, 738042, 996964, 848604, 779350, 996598, 604368]",Object4Property6
Object5,Property1,174656,"[783366, 826908, 597573, 532851, 546115, 648945, 826858, 937091, 819107, 582876, 507510, 718791, 964696, 955657, 542669, 926105, 856902, 949347, 516349, 578169]",Object5Property1
Object5,Property2,487367,"[596867, 721317, 726870, 503788, 795235, 521443, 950260, 839262, 842745, 638047, 913481, 546232, 638653, 886457, 794290, 901779, 938246, 552372, 699056, 818065]",Object5Property2
Object5,Property3,142662,"[796975, 702967, 771505, 869330, 778592, 886043, 761037, 982032, 682877, 887092, 721219, 827086, 896997, 965917, 810139, 586314, 544662, 569717, 924961, 768445]",Object5Property3
Object5,Property4,232838,"[793001, 940407, 844976, 985785, 664230, 802297, 746920, 873070, 671678, 721323, 659674, 955854, 678615, 715692, 627568, 952767, 549989, 869677, 501419, 527678]",Object5Property4
Object5,Property5,374360,"[882363, 718606, 596051, 573445, 702746, 501518, 636234, 633445, 919776, 784416, 848504, 803053, 726066, 927468, 736584, 682083, 530059, 991947, 863709, 701946]",Object5Property5
Object5,Property6,207563,"[912528, 762242, 517168, 849577, 648643, 850496, 655490, 987893, 894481, 540130, 557054, 618134, 842939, 529587, 624540, 692478, 531611, 795148, 803285, 681994]",Object5Property6
Object6,Property1,440568,"[849859, 716589, 762709, 947992, 615986, 609338, 695515, 772733, 955219, 645223, 555972, 809675, 833708, 771305, 944441, 949844, 513577, 527702, 665399, 678514]",Object6Property1
Object6,Property2,156549,"[672320, 810288, 727044, 860287, 746764, 618790, 611342, 973235, 668665, 644364, 872787, 834588, 669740, 723578, 806879, 711402, 924513, 800913, 755828, 564433]",Object6Property2
Object6,Property3,406308,"[626300, 969925, 676705, 795329, 837639, 796735, 655906, 635628, 873694, 596536, 972111, 767848, 686771, 789538, 778012, 633327, 707209, 505768, 593525, 829038]",Object6Property3
Object6,Property4,343119,"[758390, 640040, 873451, 719393, 725996, 527647, 601132, 984196, 857890, 976926, 730013, 699814, 868228, 936461, 999140, 974320, 856830, 561538, 780504, 826787]",Object6Property4
Object6,Property5,272488,"[796114, 926501, 861739, 625986, 693966, 867762, 648729, 563952, 554918, 934426, 875353, 951903, 580493, 691334, 904608, 818706, 968171, 509029, 676378, 519209]",Object6Property5
Object6,Property6,198580,"[574650, 537969, 621998, 710731, 556909, 932144, 545813, 808262, 801317, 552845, 751448, 895028, 678067, 868282, 854722, 967195, 876993, 534459, 752651, 881186]",Object6Property6
Object7,Property1,153950,"[630239, 966377, 633342, 529281, 893736, 710098, 611837, 597283, 896021, 670761, 877025, 657464, 641120, 777347, 567163, 564232, 544026, 656286, 772947, 960397]",Object7Property1
Object7,Property2,193760,"[924220, 904193, 619897, 565616, 756292, 763134, 790617, 895491, 780985, 672818, 993040, 515008, 538103, 889484, 538031, 880290, 907150, 933955, 779545, 830256]",Object7Property2
Object7,Property3,247413,"[524706, 955552, 553025, 736623, 585557, 876116, 682577, 771738, 644150, 947328, 948508, 703080, 618641, 540117, 733271, 978158, 666609, 951579, 516289, 621808]",Object7Property3
Object7,Property4,315053,"[914568, 727771, 669707, 717133, 602827, 659614, 653994, 509932, 740928, 552275, 551639, 701538, 618721, 954010, 977861, 657411, 783099, 595497, 821414, 952735]",Object7Property4
Object7,Property5,366016,"[897262, 969227, 515189, 724352, 762002, 927536, 703437, 623665, 572786, 573942, 816802, 869528, 604392, 705645, 727816, 583060, 661676, 679754, 643308, 636280]",Object7Property5
Object7,Property6,248270,"[950201, 517601, 963133, 773408, 635121, 910741, 970647, 614143, 896474, 530823, 929944, 521501, 965282, 838290, 950841, 566457, 613094, 839052, 965487, 595550]",Object7Property6
Object8,Property1,105299,"[880677, 623464, 971296, 886098, 924077, 511830, 754858, 954819, 710490, 685644, 847001, 613928, 834711, 621767, 932761, 992080, 692146, 677764, 911082, 940566]",Object8Property1
Object8,Property2,284221,"[978981, 557750, 818895, 885346, 564328, 706983, 968207, 714972, 935593, 596589, 727729, 918219, 720520, 551752, 775889, 974062, 592793, 587627, 813216, 766945]",Object8Property2
Object8,Property3,140333,"[925933, 682800, 849171, 755958, 572540, 522726, 520536, 634823, 537859, 554075, 748110, 879837, 829711, 801561, 786809, 522172, 703242, 941781, 760904, 720191]",Object8Property3
Object8,Property4,478788,"[684200, 631250, 874466, 651020, 736826, 782328, 992093, 616406, 573560, 809108, 856777, 581102, 993920, 660085, 979802, 843670, 659939, 941967, 760522, 920742]",Object8Property4
Object8,Property5,472594,"[895113, 735251, 760746, 904814, 881137, 656994, 571423, 762671, 694972, 549280, 792444, 679296, 863833, 747562, 629889, 868000, 507699, 849273, 765148, 978846]",Object8Property5
Object8,Property6,323738,"[897270, 571279, 721284, 984119, 579517, 506014, 962791, 546583, 917475, 918486, 752988, 687986, 730387, 952082, 684017, 647056, 530099, 845316, 648329, 607384]",Object8Property6
Object9,Property1,231203,"[724736, 966448, 635407, 516984, 709168, 891767, 958733, 755404, 628179, 781000, 791429, 574505, 659919, 822369, 567858, 501800, 663561, 666661, 817123, 782907]",Object9Property1
Object9,Property2,241670,"[958696, 843330, 842800, 863351, 695742, 628349, 506597, 954857, 557211, 892949, 512088, 508586, 875305, 697623, 789867, 964257, 972261, 886370, 752763, 949281]",Object9Property2
Object9,Property3,105391,"[623126, 749672, 638268, 516938, 959574, 977143, 951653, 703638, 933767, 971676, 818161, 924236, 772732, 655754, 522190, 850139, 932363, 910129, 645186, 574534]",Object9Property3
Object9,Property4,420099,"[808031, 992117, 904370, 943266, 847067, 722779, 504811, 543991, 529030, 596778, 872106, 762169, 664013, 990559, 647422, 753995, 771357, 559970, 521687, 869309]",Object9Property4
Object9,Property5,348110,"[626094, 846638, 959711, 966515, 921768, 932548, 703889, 954851, 632127, 792753, 853078, 712763, 549632, 682886, 554256, 855551, 785648, 784486, 547302, 569881]",Object9Property5
Object9,Property6,411316,"[872487, 725709, 911411, 940293, 855594, 538406, 638630, 944245, 674745, 539449, 946779, 798303, 766088, 533591, 988728, 686106, 920015, 698180, 856804, 965677]",Object9Property6
Object10,Property1,335406,"[863584, 866430, 967327, 635991, 894154, 800581, 930277, 920476, 830683, 687421, 594300, 613239, 833483, 548525, 602891, 530389, 800085, 859933, 620935, 631789]",Object10Property1
Object10,Property2,444272,"[667147, 903110, 804274, 955875, 806246, 730958, 900431, 789810, 573789, 564018, 757167, 851871, 657687, 822772, 890218, 717619, 730296, 629695, 992033, 846210]",Object10Property2
Object10,Property3,295972,"[800107, 510234, 860408, 750938, 624554, 835224, 567198, 827825, 926976, 515999, 675418, 807048, 752156, 937156, 707811, 727844, 998492, 720424, 558368, 997152]",Object10Property3
Object10,Property4,196391,"[550884, 605650, 986959, 598337, 647163, 836538, 881359, 696578, 613741, 751644, 765822, 596428, 553541, 832978, 589962, 884220, 704737, 634185, 928412, 741944]",Object10Property4
Object10,Property5,317353,"[997605, 614874, 946902, 675691, 622045, 659694, 528178, 586466, 938349, 563360, 686383, 978716, 921187, 563676, 996690, 763233, 681829, 972415, 979566, 851004]",Object10Property5
Object10,Property6,400545,"[707917, 779394, 746437, 745913, 537887, 910229, 653514, 706138, 928203, 526515, 889217, 673957, 855369, 731604, 771866, 885649, 755276, 683706, 504417, 698291]",Object10Property6
Object11,Property1,261863,"[773566, 572708, 701966, 740377, 600434, 844455, 621080, 793974, 744468, 616544, 607417, 808281, 736517, 650102, 871598, 974777, 756422, 969651, 575141, 859581]",Object11Property1
Object11,Property2,384510,"[618075, 824186, 565747, 871714, 794157, 885250, 757483, 583650, 751909, 515566, 548654, 547480, 635777, 964856, 831478, 910414, 512693, 625404, 751044, 817177]",Object11Property2
Object11,Property3,372181,"[869093, 683050, 842434, 982894, 839421, 616152, 574433, 577851, 602674, 946318, 869628, 690241, 592261, 678978, 716573, 765581, 735699, 580633, 858767, 821902]",Object11Property3
Object11,Property4,157875,"[536735, 739792, 554072, 764541, 594837, 846396, 591312, 685635, 566510, 713063, 809383, 603969, 624603, 525924, 905994, 646268, 505102, 639075, 501914, 748365]",Object11Property4
Object11,Property5,147286,"[962964, 665640, 599245, 568459, 946104, 962110, 727012, 747460, 796421, 709905, 851182, 912293, 573417, 923944, 697820, 572334, 541136, 587850, 797305, 705826]",Object11Property5
Object11,Property6,157595,"[596547, 623219, 790411, 696540, 542966, 715144, 746384, 984123, 887367, 612863, 501271, 933197, 519308, 923226, 810045, 840811, 842030, 660349, 706651, 590672]",Object11Property6
Object12,Property1,369121,"[909501, 779268, 707736, 533795, 977064, 939419, 654992, 509332, 724317, 584382, 762887, 755176, 816175, 807588, 820178, 914404, 661318, 696050, 520096, 871498]",Object12Property1
Object12,Property2,231770,"[870828, 730363, 796965, 761143, 747946, 674913, 600773, 562752, 604582, 545456, 969180, 845256, 680441, 977182, 517326, 910557, 608415, 639264, 985316, 734543]",Object12Property2
Object12,Property3,190992,"[874374, 964496, 805825, 544211, 950311, 987881, 788277, 950022, 917216, 796219, 793517, 752041, 880839, 505618, 719337, 994955, 659241, 891506, 991304, 815295]",Object12Property3
Object12,Property4,389322,"[884868, 808034, 667623, 979522, 767726, 823529, 670232, 572562, 664740, 754163, 596639, 872736, 915148, 630849, 830159, 704413, 820817, 818616, 976823, 635154]",Object12Property4
Object12,Property5,442308,"[768017, 889078, 933143, 548757, 850545, 949406, 659284, 901019, 809452, 786125, 707955, 590632, 779926, 930482, 683381, 572242, 826075, 945992, 931504, 546939]",Object12Property5
Object12,Property6,366007,"[643259, 636803, 971158, 828853, 691105, 960167, 879770, 977679, 665679, 506254, 851594, 983902, 957813, 964102, 658969, 892777, 701414, 648542, 928181, 528514]",Object12Property6
Object13,Property1,409720,"[900656, 908982, 814003, 981948, 663863, 955119, 939734, 762170, 789050, 841887, 655672, 676041, 736854, 917020, 642215, 579274, 924567, 584386, 985715, 724769]",Object13Property1
Object13,Property2,399002,"[899708, 636004, 804918, 720228, 694291, 522252, 950987, 765976, 688343, 555268, 705867, 612317, 891456, 971239, 732413, 686331, 691053, 890276, 832961, 836602]",Object13Property2
Object13,Property3,325929,"[574718, 897308, 643332, 689003, 685684, 823192, 831619, 643714, 975321, 895535, 784897, 859740, 783743, 510492, 620020, 886275, 577665, 715546, 753601, 880843]",Object13Property3
Object13,Property4,178815,"[724359, 627733, 977737, 612077, 741753, 795645, 990461, 538274, 823118, 949154, 760200, 703730, 937502, 690356, 908359, 919316, 530672, 798313, 940243, 638158]",Object13Property4
Object13,Property5,263529,"[838126, 714404, 741978, 987595, 546787, 793708, 509979, 798402, 795781, 889152, 745504, 776198, 859974, 740496, 887345, 564276, 528706, 971068, 903433, 869411]",Object13Property5
Object13,Property6,224902,"[956679, 925615, 507123, 664663, 853456, 765942, 680430, 821372, 587928, 635987, 916964, 765927, 803823, 875348, 795046, 869024, 943467, 941881, 861210, 629167]",Object13Property6
Object14,Property1,250632,"[770521, 638596, 755960, 688694, 709408, 639545, 845669, 837109, 854135, 515791, 848225, 615249, 600891, 654869, 892337, 913528, 796831, 673463, 650908, 650327]",Object14Property1
Object14,Property2,337513,"[603000, 907784, 522280, 824041, 908241, 795520, 532224, 916820, 590887, 712591, 837043, 787632, 661241, 935762, 786136, 662822, 533912, 834164, 957382, 875257]",Object14Property2
Object14,Property3,406287,"[862609, 848747, 592326, 914689, 995445, 682704, 666996, 908626, 613270, 665071, 578199, 817998, 738395, 604911, 608929, 691876, 696402, 900181, 705060, 994830]",Object14Property3
Object14,Property4,114805,"[789816, 990868, 900771, 843907, 893511, 675981, 702514, 591226, 820389, 998545, 837263, 867427, 669606, 845560, 656003, 766465, 557505, 824958, 699014, 977989]",Object14Property4
Object14,Property5,160878,"[869447, 722395, 698345, 579327, 948726, 814619, 892336, 508482, 996332, 969550, 731632, 593992, 878049, 705182, 786545, 932530, 731829, 512301, 980640, 766482]",Object14Property5
Object14,Property6,248495,"[836275, 695720, 832995, 944965, 830880, 575155, 763639, 615855, 949310, 546882, 689253, 825049, 522988, 977794, 939374, 542890, 628752, 549348, 573680, 973527]",Object14Property6
Object15,Property1,413091,"[522173, 543868, 565805, 970361, 670168, 771096, 929396, 896774, 965023, 752397, 637496, 543555, 882179, 928157, 796853, 837911, 880375, 616792, 860265, 762897]",Object15Property1
Object15,Property2,279517,"[823825, 873960, 588154, 868680, 915664, 561528, 761591, 773850, 991706, 715612, 695043, 600786, 606188, 889624, 723776, 973654, 921154, 855577, 660573, 779568]",Object15Property2
Object15,Property3,348526,"[577592, 751417, 547687, 650433, 528593, 661569, 902415, 615354, 722434, 746012, 519026, 829240, 758114, 956992, 589106, 977477, 846302, 941304, 860683, 862453]",Object15Property3
Object15,Property4,215385,"[752533, 968957, 872439, 829233, 528811, 854827, 591152, 611467, 829662, 923905, 663600, 918317, 644954, 619700, 510930, 561661, 968737, 634816, 716246, 591946]",Object15Property4
Object15,Property5,410104,"[838988, 642735, 916614, 706484, 951769, 687360, 992084, 851559, 724180, 898284, 742625, 825403, 714248, 995991, 529019, 670383, 549758, 910075, 684034, 763303]",Object15Property5
Object15,Property6,371735,"[522238, 614604, 916229, 856247, 657024, 721785, 815019, 833278, 549976, 554267, 528987, 748429, 947428, 652357, 851036, 900872, 593328, 738516, 798785, 571695]",Object15Property6
Object16,Property1,112620,"[849205, 582971, 909568, 927154, 669568, 671917, 805907, 739250, 894444, 675031, 686443, 647327, 933156, 925963, 922480, 740235, 546014, 771652, 846106, 772543]",Object16Property1
Object16,Property2,349354,"[692299, 607727, 987044, 990987, 894602, 634304, 759498, 739927, 985953, 930660, 904188, 528376, 869122, 826686, 981655, 734166, 986311, 847378, 793360, 513844]",Object16Property2
Object16,Property3,390593,"[842624, 685491, 502584, 548511, 698515, 591211, 777739, 912442, 644631, 893450, 646685, 831429, 746336, 678728, 609260, 917680, 565362, 513045, 618023, 557995]",Object16Property3
Object16,Property4,379924,"[864677, 953371, 933662, 728919, 677932, 989088, 899766, 875340, 978553, 737410, 940490, 864250, 693138, 545501, 966993, 871136, 846014, 941740, 917189, 779657]",Object16Property4
Object16,Property5,322493,"[942129, 714272, 689583, 681400, 947267, 975030, 784629, 707024, 726873, 576590, 801541, 571565, 502593, 739172, 523505, 723372, 801359, 649870, 605043, 602463]",Object16Property5
Object16,Property6,106515,"[861342, 964883, 730588, 859141, 832412, 859101, 943782, 809236, 584095, 938206, 903924, 967719, 954719, 776403, 676854, 561395, 657303, 679677, 699742, 787105]",Object16Property6
Object17,Property1,261960,"[831572, 510533, 719142, 969647, 844890, 990359, 567646, 764615, 776178, 825663, 758808, 685670, 780291, 892498, 926569, 916183, 686176, 649775, 551133, 729913]",Object17Property1
Object17,Property2,419566,"[540530, 973890, 777969, 730896, 635976, 801074, 776195, 673816, 805683, 540748, 938903, 873128, 542966, 953845, 640183, 670117, 656400, 579241, 965991, 925732]",Object17Property2
Object17,Property3,104999,"[953310, 527459, 540134, 920798, 656982, 959538, 716189, 670014, 692184, 531469, 621662, 778770, 935049, 998184, 752509, 937740, 585667, 546788, 528830, 729166]",Object17Property3
Object17,Property4,407427,"[624215, 676127, 847910, 954910, 855421, 528487, 757426, 909913, 946644, 780111, 570256, 926900, 897087, 918459, 653087, 968525, 936449, 576723, 862800, 899909]",Object17Property4
Object17,Property5,197781,"[566673, 924388, 960760, 859199, 819809, 680399, 815168, 752634, 862717, 793891, 703497, 983154, 709428, 858831, 943206, 698969, 651989, 600123, 766339, 583006]",Object17Property5
Object17,Property6,280439,"[515149, 595513, 834297, 713593, 640289, 812885, 963182, 632989, 848067, 747341, 605672, 773938, 943221, 699771, 891703, 727062, 553641, 682600, 685566, 943904]",Object17Property6
Object18,Property1,427892,"[772905, 670215, 928292, 510277, 648262, 922573, 775479, 787921, 860845, 723622, 833936, 776549, 899828, 585843, 613718, 872749, 626871, 844392, 629232, 823818]",Object18Property1
Object18,Property2,458439,"[655063, 914002, 836738, 960628, 939204, 673118, 703716, 906803, 618438, 793335, 950991, 797643, 541469, 821257, 717926, 950865, 887448, 723999, 886906, 866223]",Object18Property2
Object18,Property3,116548,"[830353, 758731, 623632, 699282, 792800, 586548, 748195, 781578, 969893, 868641, 566292, 539568, 725447, 566421, 696764, 898585, 638615, 544988, 887728, 964859]",Object18Property3
Object18,Property4,448579,"[771593, 508638, 826061, 615560, 918015, 523441, 759327, 548339, 814188, 929861, 727987, 557490, 680916, 855754, 586893, 782008, 559587, 503931, 983729, 896836]",Object18Property4
Object18,Property5,142040,"[651714, 886069, 611270, 523002, 804954, 505145, 656065, 849379, 925259, 628783, 538035, 858385, 598840, 549016, 911650, 799149, 856083, 501609, 987041, 753266]",Object18Property5
Object18,Property6,107534,"[502990, 821954, 935036, 942070, 556269, 967619, 794532, 955900, 700145, 684656, 718787, 826375, 842604, 526238, 998897, 879003, 791378, 815101, 622229, 529416]",Object18Property6
Object19,Property1,370415,"[738614, 912064, 791999, 745379, 592084, 854062, 553316, 670832, 893809, 628209, 698373, 687439, 520927, 789041, 691555, 673792, 969101, 891500, 868875, 671846]",Object19Property1
Object19,Property2,217767,"[514025, 964166, 582238, 762568, 869428, 893021, 899915, 684374, 964872, 797509, 823546, 839893, 810375, 525825, 594780, 861425, 955058, 722563, 896254, 559464]",Object19Property2
Object19,Property3,305003,"[712132, 606456, 898809, 561449, 891309, 688502, 815960, 989283, 673556, 596925, 759693, 665746, 805945, 727536, 969995, 951998, 693893, 852704, 584023, 975470]",Object19Property3
Object19,Property4,276045,"[672576, 843939, 553897, 659903, 901144, 510142, 649858, 684490, 616112, 904825, 912160, 837976, 708440, 562951, 911605, 866618, 736824, 799315, 918056, 733702]",Object19Property4
Object19,Property5,327039,"[573487, 817422, 889722, 656427, 962953, 942946, 573366, 923468, 748551, 833573, 572178, 739654, 620460, 555877, 896611, 895925, 900456, 964834, 821393, 767979]",Object19Property5
Object19,Property6,424016,"[699851, 845466, 859842, 855958, 822271, 508792, 684848, 620986, 536847, 888973, 681685, 704763, 669709, 918426, 696928, 792148, 508817, 568983, 873975, 647070]",Object19Property6
Object20,Property1,139659,"[989644, 524433, 566477, 581190, 969259, 976654, 929975, 667995, 638586, 982597, 928546, 685748, 510524, 513129, 527490, 584334, 898137, 828575, 732487, 548045]",Object20Property1
Object20,Property2,235748,"[629532, 962938, 752343, 675856, 947494, 902248, 799173, 872777, 684033, 973187, 784906, 530345, 747684, 968806, 741303, 918190, 713117, 970859, 629213, 970202]",Object20Property2
Object20,Property3,346995,"[709303, 843521, 616242, 865867, 695742, 598034, 843082, 700216, 995976, 875093, 990766, 986682, 826028, 746817, 677980, 634072, 753673, 917595, 577352, 504582]",Object20Property3
Object20,Property4,135826,"[835000, 720378, 600213, 536583, 697869, 691416, 946187, 705696, 632681, 512791, 747059, 644421, 875238, 881500, 960893, 978972, 670815, 924713, 778333, 639420]",Object20Property4
Object20,Property5,103036,"[509828, 543633, 609011, 528018, 958383, 616340, 623016, 963505, 913430, 515962, 531744, 958092, 585290, 531831, 616843, 608646, 981563, 976090, 747916, 849613]",Object20Property5
Object20,Property6,111989,"[549500, 832635, 947013, 796237, 837791, 815198, 546829, 971176, 528379, 718973, 750572, 627387, 870095, 506779, 895428, 956440, 868296, 864768, 946445, 829061]",Object20Property6
Object21,Property1,224732,"[852824, 695778, 522065, 666860, 995951, 689714, 613892, 735582, 927067, 743812, 933183, 822540, 680471, 806313, 567998, 980244, 797791, 994734, 897885, 755574]",Object21Property1
Object21,Property2,103620,"[508777, 911343, 586617, 767035, 570039, 704685, 698261, 845407, 741599, 951409, 621489, 730825, 809014, 913751, 555201, 662451, 500945, 568797, 592653, 799504]",Object21Property2
Object21,Property3,272784,"[801166, 569619, 535981, 769162, 994912, 786297, 600977, 900328, 580504, 765033, 792970, 931372, 883520, 667625, 973706, 706941, 812221, 525437, 770943, 513202]",Object21Property3
Object21,Property4,276765,"[931127, 723213, 884829, 605019, 846167, 940525, 753623, 746615, 858933, 741442, 522409, 830391, 927822, 500225, 657303, 948987, 568247, 792241, 817134, 737369]",Object21Property4
Object21,Property5,319564,"[592735, 727876, 858707, 929351, 871289, 559687, 531363, 871616, 955837, 729204, 887235, 527370, 577761, 692805, 720540, 650670, 843686, 736281, 981700, 985497]",Object21Property5
Object21,Property6,485303,"[695514, 554281, 665558, 987843, 642078, 810582, 626377, 956788, 904161, 872509, 538770, 825496, 860635, 909588, 875939, 920792, 673627, 976377, 872458, 557499]",Object21Property6
Object22,Property1,334598,"[571025, 557848, 694769, 686600, 733104, 972174, 893446, 564032, 597705, 969411, 789816, 774668, 673884, 793487, 752274, 724487, 776698, 852748, 624175, 887348]",Object22Property1
Object22,Property2,226852,"[956796, 621192, 896381, 980941, 880213, 565268, 897124, 608964, 572692, 536398, 565398, 893515, 538394, 695067, 578512, 581041, 656006, 831915, 723457, 997503]",Object22Property2
Object22,Property3,464923,"[586041, 714430, 707743, 589869, 660919, 605232, 757454, 902226, 667713, 673242, 756766, 938221, 920987, 686470, 950753, 745308, 873872, 828118, 879021, 645775]",Object22Property3
Object22,Property4,306070,"[672554, 560624, 764964, 658092, 981167, 960907, 663550, 730578, 867497, 587822, 837467, 675810, 959426, 738700, 836007, 607831, 632661, 680631, 625498, 906869]",Object22Property4
Object22,Property5,398584,"[980435, 860530, 532166, 503824, 901822, 835987, 690092, 831501, 816621, 512874, 954057, 618156, 919051, 742267, 964872, 950443, 596988, 923748, 866008, 858623]",Object22Property5
Object22,Property6,346182,"[738360, 547820, 710723, 856552, 653548, 905615, 517762, 698750, 787577, 784598, 734084, 823055, 553693, 762897, 793839, 941878, 770534, 741572, 823134, 572650]",Object22Property6
Object23,Property1,134990,"[903320, 866458, 862892, 912727, 809571, 889266, 725916, 980361, 563692, 646430, 949679, 596411, 846613, 635730, 855716, 865813, 794590, 847687, 990817, 903652]",Object23Property1
Object23,Property2,137848,"[618893, 506786, 573420, 614451, 876998, 928991, 669655, 716479, 563117, 960161, 990325, 829718, 694994, 845630, 685172, 643865, 750275, 844843, 813104, 797447]",Object23Property2
Object23,Property3,251365,"[969252, 611870, 988585, 824469, 681491, 726270, 514276, 786999, 527445, 520979, 996560, 580247, 519498, 674195, 957943, 792336, 774944, 879201, 628752, 855768]",Object23Property3
Object23,Property4,352020,"[640653, 893231, 526234, 943017, 551750, 823632, 649762, 743547, 754794, 539298, 659166, 604549, 839498, 688658, 605958, 628630, 942804, 691287, 556181, 565836]",Object23Property4
Object23,Property5,443879,"[518115, 660961, 889559, 784887, 947481, 821079, 681242, 695121, 969011, 642951, 915777, 796038, 720433, 698948, 687012, 601815, 774035, 903558, 810762, 685236]",Object23Property5
Object23,Property6,146049,"[946639, 918858, 818856, 728548, 752605, 770044, 672588, 544522, 603139, 862395, 628952, 998395, 945506, 882329, 675194, 828553, 750296, 919164, 532553, 841604]",Object23Property6
Object24,Property1,237072,"[863584, 694956, 550632, 511131, 650700, 868911, 508949, 794608, 878270, 993966, 595449, 551466, 719243, 595267, 916580, 568830, 607647, 851318, 581693, 682620]",Object24Property1
